"category_group_id";"category_group";"category_count";"attribute_source_category_id"
"2538";"Gegensprechanlagen";"1";"18098"
"2539";"Gegenstromanlagen";"1";"18099"
"2541";"Gehörschutzstöpsel";"4";"18104"
"2540";"Gehstöcke";"3";"18101"
"2545";"Geländer";"2";"18117"
"2542";"Geldscheinklammern";"3";"18107"
"2543";"Geldscheinprüfgeräte";"1";"18110"
"2544";"Gelenkköpfe";"5";"18113"
"2546";"Gepäckträger";"4";"18120"
"2548";"Gerätehalterungen";"107";"18171"
"2549";"Gerätehäuser";"4";"18249"
"2550";"Geräteprotektoren";"8";"18258"
"2547";"Geruchsverbesserer";"19";"18125"
"2551";"Gerüste";"4";"18260"
"2552";"Gerüststege";"4";"18267"
"2553";"Geschenkpapier";"7";"18271"
"2554";"Geschirr-Sets";"11";"18282"
"2555";"Geschirrspüler";"5";"18288"
"2556";"Geschirrspülmaschineneinsätze";"6";"18296"
"2557";"Geschirrständer";"9";"18299"
"2558";"Geschirrtücher";"2";"18307"
"2559";"Geschirrwärmer";"3";"18308"
"2560";"Gesichtssolarien";"2";"18311"
"2564";"Gewächshäuser";"7";"18324"
"2561";"Gewichte";"4";"18315"
"2562";"Gewindeschneider";"4";"18320"
"2563";"Gewindestangen";"2";"18322"
"2565";"Gewürzstreuer";"6";"18333"
"2566";"Gießkannen";"1";"18336"
"2567";"Gimbals";"3";"18338"
"2568";"Gipsabdruck-Set";"1";"18340"
"2569";"Glasfasermatten";"2";"18341"
"2572";"Glätteisen";"6";"18352"
"2570";"Gleitgele";"5";"18344"
"2571";"Globen";"1";"18348"
"2573";"Golf-Sets";"2";"18356"
"2574";"Golfschläger";"9";"18361"
"2503";"GPS-Geräte";"9";"17842"
"2575";"Grafikkarten";"1";"18366"
"2576";"Grasimplantate";"1";"18367"
"2577";"Graukarten";"1";"18368"
